GraphName,MaxRefCount,CompressionWindow,AvgRefChain,BitsNode,BitsLink
uk,-1,1,171.45,44.22,2.75
uk,3,1,1.04,62.31,3.87
uk,1,1,0.36,81.24,5.05
uk,-1,3,198.68,38.28,2.38
uk,3,3,1.41,52.37,3.25
uk,1,3,0.55,62.96,3.91
uk,-1,7,195.98,35.81,2.22
uk,3,7,1.7,48.3,3.0
uk,1,7,0.64,55.69,3.46
uk_transpose,-1,1,18.5,36.23,2.25
uk_transpose,3,1,0.69,37.68,2.34
uk_transpose,1,1,0.27,39.83,2.47
uk_transpose,-1,3,25.34,33.48,2.08
uk_transpose,3,3,1.01,35.09,2.18
uk_transpose,1,3,0.43,36.97,2.3
uk_transpose,-1,7,26.61,31.88,1.98
uk_transpose,3,7,1.23,33.81,2.1
uk_transpose,1,7,0.51,35.69,2.22
webbase,-1,1,85.27,30.99,3.59
webbase,3,1,0.79,38.46,4.46
webbase,1,1,0.28,46.63,5.4
webbase,-1,3,118.56,27.79,3.22
webbase,3,3,1.1,33.86,3.92
webbase,1,3,0.43,38.8,4.49
webbase,-1,7,119.65,26.57,3.08
webbase,3,7,1.32,32.29,3.74
webbase,1,7,0.51,36.02,4.17
webbase_transpose,-1,1,27.49,27.86,3.23
webbase_transpose,3,1,0.76,29.2,3.38
webbase_transpose,1,1,0.29,31.09,3.6
webbase_transpose,-1,3,30.69,25.97,3.01
webbase_transpose,3,3,1.09,27.4,3.17
webbase_transpose,1,3,0.46,29.0,3.36
webbase_transpose,-1,7,31.6,24.96,2.89
webbase_transpose,3,7,1.31,26.75,3.1
webbase_transpose,1,7,0.54,28.35,3.28
