Graph Name, Max Ref Count, Compression Window, Bits/Node, Bits/Link
uk-2002,-1,1,35.4436167063867,2.20195472559231
uk-2002,1,1,49.8299779498227,3.09571555103182
uk-2002,3,1,42.1638744793198,2.61945453896892
uk-2002,-1,3,31.3761024953665,1.94925810570261
uk-2002,1,3,42.9680130964166,2.66941210516809
uk-2002,3,3,37.6017027846893,2.33602704326008
uk-2002,-1,7,29.8659684740454,1.85544017588829
uk-2002,1,7,41.1687684653632,2.55763301527824
uk-2002,3,7,36.5892012229053,2.27312481132622
uk-2002transpose,-1,1,28.0001140358844,1.73952291407466
uk-2002transpose,1,1,34.2368773692008,2.12698536205115
uk-2002transpose,3,1,30.5931499313787,1.90061673503017
uk-2002transpose,-1,3,26.1245892251424,1.62300487489739
uk-2002transpose,1,3,30.6902428478389,1.9066486873558
uk-2002transpose,3,3,28.2603747547446,1.75569175836975
uk-2002transpose,-1,7,25.3680978458125,1.57600742028139
uk-2002transpose,1,7,29.5771548867562,1.83749746849996
uk-2002transpose,3,7,27.4110468807352,1.70292678403756
webbase-2001,-1,1,27.6504648488933,3.20293684344688
webbase-2001,1,1,35.5237362819393,4.1149501238446
webbase-2001,3,1,31.2949457202639,3.62510124907051
webbase-2001,-1,3,25.3950685764958,2.94167932546618
webbase-2001,1,3,31.7860161514745,3.68198519606552
webbase-2001,3,3,28.7909695485071,3.33504907166728
webbase-2001,-1,7,24.5049653614326,2.83857276296979
webbase-2001,1,7,30.8940150279128,3.57865878623245
webbase-2001,3,7,28.2631224476987,3.27390503896747
webbase-2001transpose,-1,1,24.3277807062179,2.81804828848511
webbase-2001transpose,1,1,27.8293728517141,3.22366094472163
webbase-2001transpose,3,1,25.776856804415,2.98590438961172
webbase-2001transpose,-1,3,22.9371053372101,2.65695713139205
webbase-2001transpose,1,3,25.8709967073142,2.99680923931614
webbase-2001transpose,3,3,24.3286936826233,2.81815404460104
webbase-2001transpose,-1,7,22.3880808674939,2.59335998350981
webbase-2001transpose,1,7,25.4434995535675,2.94728940694852
webbase-2001transpose,3,7,23.9945293108967,2.77944556777002
